date,amount
8/21/2016,$9.85
8/22/2016,$10.80
8/22/2016,$13.31
8/22/2016,$21.29
8/23/2016,$15.30
8/23/2016,$203.61
8/23/2016,$30.61
8/24/2016,$15.70
8/24/2016,$21.82
8/24/2016,$5.99
8/25/2016,$0.53
8/25/2016,$9.71
8/25/2016,$43.59
8/26/2016,$24.35
8/26/2016,$6.65
8/26/2016,$7.32
8/26/2016,$15.97
8/27/2016,$5.46
8/27/2016,$12.38
8/27/2016,$22.96
8/28/2016,$24.95
8/29/2016,$88.36
8/29/2016,$72.53
8/29/2016,$37.26
8/29/2016,$35.47
8/30/2016,$16.77
8/30/2016,$10.25
8/31/2016,$20.49
8/31/2016,$5.59
8/31/2016,$1.33
8/31/2016,$24.62
9/1/2016,$45.51
9/1/2016,$5.99
9/1/2016,$48.57
9/2/2016,$9.85
9/2/2016,$6.39
9/2/2016,$300
9/2/2016,$7.98
9/3/2016,$10.65
9/3/2016,$32.60
9/3/2016,$59.89
9/3/2016,$17.83
9/4/2016,$30.61
9/4/2016,$31.01
9/5/2016,$23.16
9/6/2016,$66.54
9/6/2016,$10.78
9/6/2016,$2.66
